,signal_date,entry_date,exit_date,days_held,outcome,exit_route,route_reason,trade_type,signal_close,limit_price,entry_price,target_price,stop_price,exit_price,gross_return_%,net_return_%,hit_target,partial_taken,peak_gain_%,pct_vs_sma200,pct_vs_sma20,rsi14,roc10,atr_pct,vol_ratio,macd_hist,adx14,bb_pctB,dist_52wH,obv_slope10,fill_edge_%,init_stop_price,partial_at_%,partials_taken_n,remaining_frac,days_since_high
39,2022-12-05,2022-12-06,2022-12-16,8,TARGET,fixed,chop:dist=13.2|vol_self,UPTREND,39.14,38.95,38.95,44.79,35.69,44.79,15,12.3623,false,false,3.14,13.21,3.7,62.01,5.67,4.33,0.97,0.2,23.44,83.54,-47.37,451549,0.5,35.69,,0,1,0
40,2022-12-02,2022-12-05,2022-12-16,9,TARGET,fixed,chop:dist=13.6|vol_self,UPTREND,39.19,38.99,38.99,44.84,35.68,44.84,15,12.3623,false,false,2.63,13.63,3.94,62.45,7.36,4.4,1.31,0.21,22.56,87.12,-47.31,580707,0.5,35.68,,0,1,0
41,2022-12-01,2022-12-02,2022-12-16,10,TARGET,fixed,chop:dist=13.8|vol_self,UPTREND,39.14,38.95,38.95,44.79,35.52,44.79,15,12.3623,false,false,1.38,13.76,4.01,62.2,8.83,4.51,0.97,0.2,21.93,90.26,-47.37,541649,0.5,35.52,,0,1,0
42,2022-11-29,2022-11-30,2022-12-15,11,TARGET,fixed,chop:adx=19|dist=12.7|vol_self,UPTREND,38.6,38.41,38.41,44.17,34.91,44.17,15,12.3623,false,false,2.67,12.74,3.19,59.6,4.08,4.81,0.94,0.12,19.41,79.84,-48.09,282746,0.5,34.91,,0,1,0
43,2022-11-28,2022-11-29,2022-12-15,12,TARGET,fixed,chop:adx=18|dist=12.3|vol_self,UPTREND,38.36,38.17,38.17,43.89,34.91,43.89,15,12.3623,false,false,3.7,12.28,3.08,58.42,2.48,4.93,1.33,0.06,18.17,75.38,-48.42,150273,0.5,34.91,,0,1,0
44,2022-11-21,2022-11-22,2022-12-15,17,TARGET,fixed,chop:adx=15|dist=9.5|vol_self,UPTREND,37.04,36.85,36.85,42.38,34.89,42.38,15,12.3623,false,false,3.02,9.52,0.56,51.64,-3.44,5.25,0.94,-0.11,14.82,54.04,-50.2,64418,0.5,34.89,,0,1,0
45,2022-11-16,2022-11-17,2022-12-15,20,TARGET,fixed,chop:adx=15|dist=8.0|vol_self,UPTREND,36.31,36.13,35.38,40.69,34.77,40.69,15,12.3623,false,false,3.18,8.01,-1.72,47.41,3.48,5.63,0.68,-0.02,14.86,37.69,-51.18,131325,2.62,34.77,,0,1,0
46,2022-11-15,2022-11-16,2022-12-15,21,TARGET,fixed,chop:adx=15|dist=10.6|vol_self,UPTREND,37.09,36.9,36.9,42.44,34.17,42.44,15,12.3623,false,false,2.36,10.57,0.66,51.31,6.9,5.61,0.86,0.1,14.83,54.31,-50.13,218973,0.5,34.17,,0,1,0
47,2022-11-14,2022-11-15,2022-12-15,22,TARGET,fixed,chop:adx=15|dist=11.8|vol_self,UPTREND,37.43,37.24,37.24,42.83,33.52,42.83,15,12.3623,false,false,2.34,11.81,1.97,53.08,8.19,5.6,1.18,0.18,14.76,61.95,-49.67,328983,0.5,33.52,,0,1,0
48,2022-11-11,2022-11-14,2022-12-15,23,TARGET,fixed,chop:adx=15|dist=13.8|vol_self,UPTREND,38.02,37.83,37.83,43.5,34.04,43.5,15,12.3623,false,false,5.93,13.8,4.11,56.17,6.28,5.19,1.15,0.26,14.61,72.72,-48.88,335742,0.5,34.04,,0,1,0
49,2022-11-10,2022-11-11,2022-12-15,24,TARGET,fixed,chop:adx=15|dist=13.2|vol_self,UPTREND,37.72,37.54,37.54,43.17,33.78,43.17,15,12.3623,false,false,4.15,13.17,3.82,54.95,3.76,5.14,0.78,0.31,14.98,70.7,-49.28,218282,0.5,33.78,,0,1,0
50,2022-11-09,2022-11-10,2022-12-16,26,TARGET,fixed,chop:adx=15|vol_self,UPTREND,38.7,38.51,38.51,44.28,34.66,44.28,15,12.3623,false,false,1.52,16.34,6.83,60.12,6.17,5.04,1.29,0.38,14.9,87.46,-47.96,228316,0.5,34.66,,0,1,0
51,2022-11-04,2022-11-07,2022-12-15,27,TARGET,fixed,chop:adx=14|vol_self,UPTREND,38.36,38.17,37.19,42.76,33.47,42.76,15,12.3623,false,false,5.12,15.81,6.79,58.9,4.95,4.97,1.44,0.32,13.96,92.23,-48.42,40812,3.15,33.47,,0,1,0
52,2022-10-11,2022-10-12,2022-10-28,11,STOP,fixed,chop:adx=11|dist=10.5|vol_self,UPTREND,35.52,35.35,35.35,40.65,32.84,32.84,-7.09,-7.29,false,false,0.5,10.54,-3.02,46.1,2.68,5.44,0.47,-0.18,11.25,34.78,-52.23,63324,0.5,32.84,,0,1,0
53,2022-09-05,2022-09-06,2022-09-08,2,STOP,fixed,chop:adx=15|vol_self,UPTREND,44.96,44.73,44.73,51.44,40.26,40.07,-10.42,-10.62,false,false,5.53,50.19,27.38,75.03,34.5,5.49,0.83,1.04,14.7,121.69,-39.55,939579,0.5,40.26,,0,1,0
